names,stars,dates,clicks,reviews
Tanmay Nag,1,2021-02-18,1,Add the music feature in the story
Wasim Official,4,2021-02-23,2,Instagram lite app is very good but live option not see please live option update
nir mal,2,2020-12-17,8,It's like just an older version of Instagram app. It's loading slowly like using browser. Other big issue is not able to view videos
Sonu Terabaap,5,2021-04-14,0,Nice app but music not available
Nived Damodaran,4,2020-12-16,8,"It's a very good app, But I'm giving it 4 stras as it doesn't have the feature for video calls, which is very essential even if it is a lite app 😊"
Blessing Chiko,5,2021-03-01,0,"It's small ,fast and reliable ..it really save my space."
Pheonex chickenOP,1,2021-03-12,2,Unable to share post to story fix it😡😡
shahid ul islamNnn,1,2021-01-16,35,Worst app. When i try to add story it goes reverse and start from first...more i can't rply the message... And i can't add music to the story... Bakwaas hai sala...💕💔💔💔
Aviraj Kumar,3,2020-12-17,6,Everything is fine but what about Reels....?? whenever my friends shares a reel with me it says it's not supported. Plz add reels feature in this lite version also and I'll gladly change my rating to 5star.
Rapit rat,4,2020-11-09,107,Surely a great app. But please add some more features such as dark mode which should be there as facebook lite too have so please introduce it. Otherwise great app and thank you so much for this app♥
Imran Hossain,1,2021-04-15,2,"Add dark mode and filters,stickers"
VIJAY जा8व,5,2021-01-21,35,"It's a awesome I like it but no for business account holder, and I'm able to find add story mode plz improve that app little bit more but after using this app I feel the old Instagram memories 😃"
sunil kumar,3,2021-03-15,0,Why not working properly in dark mode
Ganga Ghosh,4,2021-02-20,0,this app full of same Instagram but there is some problems.
benjonglemla walling,4,2020-12-27,4,Its good but its unfortunate tat voice messages are not a thing .. me n my friends communicate through voice messages most of the times but lol it does not exist XD nyways good app good job developers wishin u luck to improve the app XD🤣🤣🤣😀😀😀
Nubaid Sonu,4,2020-12-14,8,"The experience is fine works as original app and is good for old devices but it does not support reels yet if the new update comes on it, it will be great"
Sid 03,3,2020-12-16,11,"Needs more work, options like dark mode, autoplay toggle, datasaver mode, video player controls, could do the trick."
deepak r,2,2021-01-11,20,"There is no option to switch to dark mode. Or lite mode. It takes system theme. If it's dark, I can barely see the letters"
Urvashi Sharma,1,2021-04-16,0,We can not do video call in this Instagram lite so that's why I am giving 1 star only.
Shiv shankar Sharma,4,2020-12-22,9,I can't give like to personal messages😥😤 And it doesn't supporting background music for stories😕 And there isn't any effect for our photos in stories..!! And it is not supporting audios in personal messages..😟😟 Please allow these features Thanks😊
Go viral,5,2020-12-09,148,Thank you so much for launching Instagram lite version. Its working faster on devices less than 2GB RAM. I'm very exciting for this lite version.
BalaGanesh I,1,2020-12-19,12,"Newsfeed not updating the current one. It shows last 2 days posts.add dark mode,datasaver. Put auto refresh in newsfeed and show new posts"
Nandhini R,5,2021-04-11,1,I like this but it's not a normal Instagram 😠😠😠I want to update this
Ankit som rose,5,2021-03-26,2,"Instagram lite little Instagram, very good app and very helpful app"
Killing Perfection,3,2021-02-09,0,You can't use filters. So it's pretty kuch useless
Aman Inamdar,5,2021-03-06,1,Very good i'm in love with this app its really a good appp
Abde Nnacer,1,2020-11-17,22,"Four stars, for messing dark mode, i will never open the app in light mode,and a lot of bugs, it doesnt even open anymore"
Aakash Pawar,3,2020-12-17,7,"The exp. Is awesome but it should have dark theme which may increase experience more,and bugs should be solved."
Princess Joanna Rose Vergara,5,2021-03-19,1,It's amazing! Loving the lite version. Thank you so much!
Bhagyamma Bhagyamma,5,2020-12-12,12,If you add few features like highlights editing..... And other features which supports and works just like Original Instagram.... It would be 100% perfect
Damaris Wairimu,1,2021-04-11,0,It does not have music when u want to make a story
Technical Mustafa,4,2020-12-16,6,"The app is awesome but still I'm giving 4 stars because of bug & shortages of other features like: reels, guide & less insight"
Trochanter Gaming,2,2020-12-23,7,"Everything is good but in add to your story options are not available like emojis ,music adding options etc.plz fix and add some more features.."
PRINCE MAHI,1,2021-01-22,19,I am not getting Instagram reels. I have requested many times from last few months. But I am not getting it. My user I'd @_jaan_e_ghazal_ please fix the issues.
Siyam Mishkat,2,2021-04-23,0,Developers should add the dark theme feature in the next update
Srikanth Murali,1,2020-12-18,9,It's not working !! When I tap something it isn't loading say something went wrong'. . include dark mode.. but anyway its good...
Arslan Chohan,1,2021-04-11,0,It's not a very good bcz their is very issues it's a gud just it use at slow net but we do not share stories
Hossana Effiong,4,2021-04-24,0,Like it Because it is light on like Instagram Coz my phone has little space.it just fits my need to be on Instagram
Abhi Malpotra,3,2021-01-31,0,This version is slower than Instagram original
devansh sharma,2,2021-02-02,0,Underdeveloped app right now... I'm facing issue in sharing posts on my story... It shows error in that... 😢
Biru Panda,2,2021-01-21,15,Please bring out the feature to see highlighted texts in DM and also to highlight texts in DM. That's literally everything needed to complete the app!
Adithyarv,2,2021-01-12,1,I'll rate it 2 star because of not refreshing postes of homepage if this problem has resolved then i could give 4 star due to the lite version ...
Lakshit Paliwal,1,2021-01-27,1,"there is no functionality like virtual DOM , and app stuck sometimes."
M,2,2021-03-17,0,I CAN'T SENS VOICE MESSAGE N IT'S LAGGY.
A L,3,2020-12-28,6,"Add more features in instagram lite and dark mode.Everything was perfect .smooth,responsive and works fast at low network.instagram story is not uploading"
Pankaj Singh,2,2021-04-09,0,Ok but lot of problems it has with performance
मिरजोळकर 19,5,2021-01-22,32,I really like the app as it doesn't Use up much Space in my phone. Alsoit quickly connects to the internet whenever i want to. thanks for it.
Manan Wani,3,2020-12-18,10,"Poor user interface, and please add voice note option. Doesn't work properly with slow networks."
Subrat Tripathi,3,2020-12-26,5,Lots of glitch and eroor...and very less features....need much more improvement....but great for low storage mobile... thanks Instagram
Bhat Yusairah,5,2021-04-12,0,I don't have reels option please enable reels option in my instagram app
Ungraduate Memer,1,2021-04-13,0,This lacks so many features of Instagram this is worse and spoils the feel of using Instagram
Kajal J,1,2021-03-19,0,It's lack very much here should me some more features like reels and stry
PREMJEET KUMAR,5,2021-04-23,0,Instagram lite reals icon not showing
Krishnamohan Pandey,1,2021-01-21,7,When you are adding any picture to your story its always showing send to and if you want to exit the continue press discard key but can't exit
Harsh Singh,1,2021-03-07,0,Sometimes cant refresh feed
Avinab,4,2020-12-12,12,Some features are missing in this lite version but still it's the best for lower devices. I hope that developers are improving it properly.
Ammar Fatmi,3,2020-11-25,17,Good app but should have dark mode and also should have options to react on messages and delete the mesassages of person you are chatting with
Rahaden Liem,5,2021-04-16,0,"Nicely nice, finally you released the little one.. And i like it.. Thank You."
Subhajit Das,1,2021-03-24,0,"1 star because dark mode I'm not finding in instagram lite. So, I want Needed to dark mode for me plzz. It's very Argent"
Om Kalse,1,2021-04-04,0,Showing msg notification. But there is no msg..
Chitra Chayanika,2,2020-12-30,2,"lacks a lot of useful features like you cannot upload more than one photo/video per post??? the story feature sucks too, you cannot tag people on stories"
mouzin raju,3,2021-01-06,2,"That's fine - but there's something wrong with music, there is no option of music in story."
Naveen N,3,2021-03-14,0,"Dear Team, Kindly add black theme and similar features as same as original app."
Radnor Zavoisse,3,2020-12-27,4,The app goes crazy when I try to write a caption.The keyboard appears then disappears.Not being able to write any cqptions
Babita Paras,3,2021-01-30,1,Instagram lite reels option are not showing
Samah MKM,1,2020-12-24,4,"You can only use this app for few days. After that, it starts to show that instagram is stopped. And I have reported it 4 - 5 times. No response. Literally disappointed."
वैरागी,5,2021-01-27,8,"Dear instagram, can you please add dark mode in lite version ? Rest everything is just perfect.❤"
all-rounder India,5,2021-01-03,11,Thus is best application it takes less storage and small amount of Data taken by this app but one problem don't create more than one account
Nirmalendu Joardar,3,2021-04-19,0,Please man make an Instagram which is compatable for Tablets
lyfeofphil,3,2021-03-18,2,I love the app but one thing I can't find is the dark mood
Manoj Mallik,3,2021-03-30,0,Good. Light weight but with efficiency.
Vikas Kumar s,1,2021-03-21,1,Slow and no reels feature
suvarna darekar,1,2021-02-20,0,Plz add music option on at a time on adding story
National बना जी,1,2021-04-10,0,Not working proper like instagram.
Mohd Adil,2,2021-01-13,15,I like this app but lots of improvement is needed still but very good at storage nice but if you add everything to it but low at storage then I can give 5.5
Lavi Saini,1,2021-04-12,0,Music ka option dal to isma story dalta time and tag bhi
Mohammad Mouaz,2,2020-12-25,0,Not working properly some it's stop during use and take a lot of time to login.
The evil Stalker,1,2021-03-19,1,Can't login with Facebook account useless app
johnrich rocaberte,5,2021-03-19,1,i like this app co'z its small stroge that i can use so so nice about this app also good and it is like facebook lite but this app is great
Rohan,1,2021-02-28,0,Text typing is not working
_josh _edits,3,2020-12-22,3,"It's ok but when I post a video it zooms in on it , and there are no filters bit the rest of the app is awesome"
Pankaj mahawar,2,2021-04-24,0,"Some message not supported, what is reason? I can't understand why showing not supported!"
Nisha,1,2021-01-12,15,"Worst app ever tried..😬 Can't post anything in this instagram lite..😡 Don't waste ur time installing this app..😒 If there was possibility of giving no stars, I wouldn't have given it even 1 star..😤"
Looney Loser,3,2020-12-26,4,Was waiting for this app to launch in Pakistan. The only problem i have with this app is that my bottom bar from where i access search and home things is not on position. Please fix it.
Ninad Chonkar,4,2020-12-24,4,"It is usefull for emergancy time.but when profile is refreshing,then it is takes more time.But overall app is good."
BASHER AHMAD,1,2021-04-12,0,Sometimes reels comes and sometimes not
Deva Creatives,5,2021-04-16,0,"It's a good app, but not in dark mode"
LOSER MUSIC,3,2021-01-29,1,Music option in story is unavalible and posted pics quality is much low....
Ranjeet Pandit,5,2021-02-05,0,Instagram reels icons not support my phone
Bhoopendra Bhoopendra jat,5,2021-04-22,0,Instagram reels not activate is my problems
UTKARSH,5,2021-04-11,0,Thank you instagram for meeting you social . It's very best app for communicate all country people .
Akarvind Raj,4,2021-01-20,15,This app is totally sucks in dark mode enable I can't see any text and anything that really really annoying and irritating me and so many bug's and glitches just fixed that dear developers please
Rahmat Hussain,1,2021-01-05,0,One star because it does not load photos on 2g network please reduce the size of images like Facebook lite.
NeT TecH,5,2021-02-08,1,Super but need some improvements
Rahul Singh,3,2021-03-12,0,Giving it 3 star because we cannot skip video in this lite version
Vishal Gadhvi,2,2021-03-01,4,"I was eagerly waiting for ig lite and here it is; l Wanted dark mode and zoom in image feature, BTW nice app"
Lakshan Danusanka,3,2021-03-24,0,BETTER app.but some times only loading posts
Shiladitya Mitra,3,2021-01-27,3,Direct message option not visible in Samsung galaxy s20. Please rectify
challenge accept by Debolina,5,2021-02-24,0,Insta reels icon not coming my phone
Shivam Raj,2,2021-01-23,15,Worst experience of insta....You could rather use it on browser or as web app... The feed never refreshes and even bieng lite version consumes a lot of data....
Rahul Rawat,1,2020-12-24,3,"Lot of Bugs, I am still getting the same posts even after 2-3 day, refresh not working."
AAM Digital,5,2021-01-12,12,Fast application with low usage of battery and storage. Work on all kind of networks without errors
YD World,5,2021-01-18,9,This is a wonderful application with less data and storage easy to handle and good performance i love this application
You Phone,1,2021-04-19,0,Why can't I selected 2 or 3 picture in a post?
Kithsiri Iddamalgoda,1,2021-03-30,0,Some times it get stuck
Nabeel Ahmad,1,2020-11-16,15,Needs improvement Instagram lite not working properly when i open app take long time but its not open fix issue as soon as possible
Chirag Paliya,2,2021-04-11,0,It is good to use but not that much experience
αkαsh . σlí,5,2021-03-14,0,Doesn't eat much of your phone's battery life and data 😂..
Shreya Dubey,3,2020-12-20,5,"In this, no one is being searched easily and it is also not the right way to post a story post and a picture. It is not giving the correct updates even after refreshing."
ezhil vetha,4,2021-03-21,21,Video call is not there..!
Geetha Rani,1,2021-04-13,0,Waste there is no reels option after updating app also
Kushagra Vashishtha KD,4,2020-12-16,3,"All features are very good, but please make a new update by adding music feature for story."
ANKIT_ GOHEL,2,2021-01-13,11,Instagram lite Version is very Best and useful...and limited space Version but... This version has no Music added in photo story.. Thats Thing make Update...
Manas Pawar,1,2021-03-17,0,Unable to login
Gurminder Singh Talwar,5,2020-12-20,6,"App is great, less mb and works fine but one thing is missing that is instagram reels. Please bring insta reels."
Mohammad Saleem,2,2021-01-18,8,The app is good but that's incomplete without video calling features. Kindly add video calling features.
Music World,1,2021-01-03,3,"Worst , i used it to decrease storage in my mobile it is very irritating app, found 100 of errors and also doesn't support stickers , don't install"
Ben Simukombo,5,2021-03-25,1,Fantastic app I would recommend it for every Instagram user
Ayush Nautiyal,5,2021-03-20,0,This is good app But how to make highlights 😭😭😭
Tarnnum Soni,1,2021-03-13,0,U cant listen audio message and send reels
Bhupendra Rajput,5,2021-03-24,0,This aap is very good but one issue my rells not show in my account
Asima Nath,2,2021-04-23,0,Instagram lite is updated version of instagram. I am not satisfied with it
10D118KISHALAYKAMAR,3,2020-12-18,7,Basically the app is good.. But reels should be added here.. And more filters.. Then its totally satisfying 👍👍
Yash Tope,5,2021-03-23,0,Its a very light app Should give reel option @instagram
Suryakant Sharma,5,2021-03-22,0,Nice but live call option must need
Baljeet Sangra,1,2021-04-04,2,"Please stickers which are in instagram. Like :- poll ,song ,type etc."
nada senouci,1,2020-11-11,14,"Good but you need to add dark mood u need to add a lot of things in the story like music like ""ask...ext"" then will be so much batter 💕"
Benedict Mathew Varghese,4,2020-12-28,9,"It works well, and I can upload photos and videos in Instagram Lite. Thanks for this app I was wondering that I can not upload photos in real Instagram"
Its For Fred n Stephanie,1,2021-04-15,1,"Ok problem again when I want to change a profile picture and I want to post a story it said ""sorry your story failed to uploaded why why why why why why why why why why why why why 😭 I want an answer ha?"
Manish Pawar,1,2021-03-17,0,I am trying to unfollow an hastag but it is not updating I am trying from past 2 days
Istiaque Hasan Babul,5,2021-04-17,0,simple and easy
Mesum Naqvi,3,2020-11-10,10,"The interface isn't all that bad, but I really want dark mode on this app. Don't have much else to complain about."
Stella Yu,4,2021-04-06,0,Adding dark mode will be better
Devendra Mistry,5,2020-12-25,8,Faster experience on low end devices. It would be great if it had a dark mode.
Abdul Aziz,1,2020-12-22,5,The loading is very slow It takes much time to load content and there is no refresh please fix this
pinu comedy,1,2021-01-05,1,I like this app but this is slow loading and not reel available so I thought this is a time pass only.
kidareen,5,2021-01-21,13,"Tbh, thisbis really the best app i hv ever had! My tab is a very old version of samsung 4.1.1 which cant support the real IG app but rhis is just super!"
CHINMAY SALVI,3,2021-01-12,8,Auto Video playback is very choppy ...not so smooth and overall app resonse is a little bit slow....needs work guys
Calis Stephanie,1,2021-03-17,0,Oops!! Its not working now.
Raju Kumar,5,2021-02-13,0,It's like same instagram main app ...but has has less options ..
Rohit Pal,3,2021-02-25,0,Ok reels option show👌👌 but dark theme not available
Anyang Majok,2,2021-04-13,0,I rate it two because you can not video chat anyone
Adwaith S Gopal,2,2021-01-25,16,I don't know why this version contain internet problem to connect or refresh. And please add dark mode .
Mazhar Ali Jamali,5,2021-04-14,0,Add voice system in the messenger of the lite app of the Instagram
Moumita Banerjee,4,2021-03-17,0,It's good just good into the mobile nice!!!!
amitesh tiwari,4,2021-01-15,11,Its not bad app for daily user but we can't share music on the stories and can't watch reels so i hope insta family will manage the problems as soon as possible❤
Robin Mathew,3,2020-12-20,3,You have to refresh manualy to see new post on feed. Just a web version named lite app. I suggest only for those are still using decade old tec
Ankush Naik,4,2021-03-22,0,Add dark them in next update but don't add reel or igtv on this
navneet kaur,1,2021-03-20,0,Very shameful because reels Option are not on
Joel Joseph,4,2020-12-27,3,It's livable with. It's slower than the full pacakage as you would expect. Go for it if you dont mind that.
Bejendra singh Gaur,5,2021-02-14,2,App:- app Instagram lite is very nice I like this app
Rahul Thekkedathu,1,2020-12-12,12,The major aim of this app is to save battery..but i think the developer forgot to put a darkmode..machine without engine
RAHUL DAS,1,2021-03-08,0,Not as good as Instagram... If we compare fb with fb lite... It's like the browser one then why you made an app..😖😖
Vasant Borkar,4,2020-12-29,7,Good app created by Instagram. Please also bring dark mode and make the experience more smooth.
Guddu chauhan,1,2021-02-27,0,Very good app because I am use this app and this experience so I can say you all
Amit Rai,5,2021-04-10,0,Instagram reels icon not coming my phond
Jessenia Garcia,1,2020-11-11,14,I got Android 9 and the app is crashing when i try to post stories or post... All this since the last update... Hate this I need to post in my professional account and I can't
Purva Jaisingpure,2,2020-12-18,23,Its good but totally like the version which came on chrom or google tab. We cant respond to stickers on it....... We cant watch stories correctly.....
Haseeb Qureshi,2,2020-12-21,2,"just installed this but the bottom bar isn't on position, it's 2 inches above. I'm reporting this from Pakistan and several people are reporting the same issue."
Yakaiah BADA,2,2021-01-14,9,Good app but! Create storys with music option in not there! So please update instagramlite to story with music update like instagram 2021 🌹
Sara Ayoub,4,2021-03-23,1,I really liked this app It's like 90% the original instagram
_Mani_22,4,2021-01-03,1,All app is good. But there is no instagram reels. This is major problem. Otherwise all the app is good.
KS Rajput,1,2021-03-19,0,Mostly not loaded. Right data No calling No live
Suyash More,2,2021-01-26,5,It's showing me same posts again and again even after refreshing. & no dark mode feature.
MAJ 95,3,2021-04-03,1,Its like instagram but i can't neither react to stickers nor save video that people send me. Then I'll give 5 stars
Rohit Sinku 10 B,2,2020-12-21,7,I can't be able to see anything what's written in Instagram lite when I turn on dark mode in phone.
Zahir Atish,4,2021-03-07,0,Good but download ui has been stopped
umakant sahu,1,2021-03-15,0,Reels in messeges are not supported
Prachi Chauhan,1,2021-04-22,0,This not good because the problem is in the story
Baljeet Kaur,1,2021-04-23,0,Message are not showing properly so fix i
Prince Chigozie,5,2021-04-11,0,I so much love the app because is easy going
USHA MORE,1,2021-04-12,1,"First I Try this app, I thought it's like insta but after I use this app 3 times 4th time it's not working..really unfortunately I'm giving this 1 🌟"
Gopika B G Nair,4,2020-12-19,4,It's a nice app but in story their are some problems thats it with out this problem it is a good app
Mimi Milina,2,2020-12-18,3,Still just that stories work and sound record and music in storys without internet But the app is good
Aman Singh,1,2021-02-18,1,Very bad experince in story sharing... Guys i recommanded browser instagram instead of lite instagram 🐤🐤🐤
Ahmed Gamal Mokhtar,2,2021-01-23,7,There is always a notification that there is 1 new message at the DM but no new messages are found
Angry Pirate,5,2021-04-03,0,"Nice app,uses too small data to download"
student education point,5,2021-04-11,0,its good and easy to use 👍👍
SURENDAR G,1,2021-04-02,0,Unable to share a video.
Amit kr sarkar,5,2021-01-18,18,Keep it up... This is a lite version totally worth it.. I was waiting for this eagerly.. Keep updating and improving it
Shashi roy,5,2021-03-17,0,I can't show my reel icon
58_Parth _Mehta,3,2020-12-16,3,Great app just make it full screen with all the bottom options via full screen.
Amjid Bashir,3,2020-12-27,54,"Finally! Lite version is come out but many features are not available , many bugs. Please add dark mode support . Thank you"
Joshi Brother,5,2021-01-24,10,Wow amazing best app i use instagram app but image upload problem and i installed this app and solved my problem
syed Rafey,1,2020-12-13,8,This app is not good becuas they are work too slow and not uploading videos so please upgrade this app and fix this problem
JOBIN BABU JOHN,2,2021-01-08,6,The app is good but should've dark them and isn't able to scroll while viewing a page
Sibghatullah Mujaddid,3,2021-04-20,0,Can't choose which collection when saving a post
felix13ification,2,2021-02-27,1,"the app font doesn't support alphabets with the letters ""ə, ı, ü, ç, ğ, ş"""
Muhammad Hassaan,1,2020-12-23,7,Nice app but one problem is that my chat stickers and gifs are not appearing or shown what can i do now thats why im giving it only 1 stars
Rinaldo Acardi,2,2021-03-22,0,REALLY slow. Barely functional.
Joy Singh,2,2021-02-26,2,Same feed coming after refresh
Hari Krishna Rao,3,2020-12-15,3,Good app but you should have to add video calling option and it should be smoother Thank you so much
Sudhanshu Semwal,4,2021-01-13,10,This is very basic version of instagram . We need more features Hope you will unlock more features in future
ALL in ONE,1,2021-04-19,0,This app doesn't have music sticker in stories.
Technical Gaming,3,2021-03-03,1,I would give it 5 stars but there is no video chat feature in this and no dark mode
Mayank Arora,3,2020-12-23,3,Good app but I can't post and can't see videos please fix this bug when I remove bug it is a very good app
Suhail Rajput,4,2021-01-05,2,All thing is awesome. I did'n want dark mode and another thing. I music in story only one thing....
soumalya chakraborty,5,2021-01-04,2,Everything is perfect. But please bring 20:9 support. My eyes are so hurting.
sharbojit Sarkar,1,2021-02-16,1,This is worst because we can't add songs in story.
Vishal Pharswan,3,2020-12-18,4,app is nice . it is same functioning as facebook lite. only problem is that there is no reels
Akhil N,4,2020-12-16,6,Everything is fine except dark mode. Cannot use it in dark mode. Please fix this
Andre Jan Bautista,3,2020-12-11,9,I tried it but whenever i tap or go to my profile or feed it loads too slow even my interet is stable and fast
Chandan JATAV,1,2021-02-10,0,What's the point of this app if you can't turn off autoplay
Usama Yousaf,3,2020-12-11,10,Best app but there should be a dark mode just like there's a dark mode in Facebook Lite and Twitter Lite. It hurts my eyes.
Lila Natasha,1,2021-04-14,0,It uses my data very much instead of Wi-Fi you guys don't try this app so boring
yashwanth Kumar,1,2021-02-02,2,Unable to login. It is showing error always
life of Amit,3,2021-03-09,0,No dark mode good optimisation
Anurag Kumar,1,2021-04-14,1,Worst experience can't refresh the post's
Arshian Masood,5,2021-01-14,27,Everything is perfect expect the stickers that aren't supported in stories other then that no complains so far :)
khushi sain,4,2021-02-07,0,You should also add dark mode like fb lite
Amit Chaurasia,4,2021-02-14,2,This is awesome app i am enjoying this every day.
Umesh Chandurkar,1,2021-01-20,5,"This app is good but in it, when we share a story. There is no option of music 🎶"
Rahul Kr,3,2020-12-16,2,"According to size app is good and lite weight, but need work on optimizations and smoothness like fb lite...hope in future updates you provide us..."
Vijay kale,5,2021-01-15,9,Very nice app as compared to storage the app is genius it in but beta version is not available i request to start the beta version
Bashir Bhat,1,2021-01-01,3,I will only give only one star bcoz this app does not work very good in low net and i think instagram works very properly as compare to instagram lite.
Harshal Deshmukh,4,2020-12-12,12,"Please add support for dark mode, Stickers. It takes much time to load than instagram app, make it faster"
blueandgrey,1,2021-02-11,2,The dark mode sucks pls fix that first and then the others
Uma Gusain,1,2021-04-21,0,That is app a very sweet and the best app of a muney care but v a happy me
Anirudh,5,2021-02-16,2,A touch of dark theme would be nice.
Daris Mathew,5,2020-12-16,2,App I am waiting for so long. Thank you for bringing this I have a low end phone and Instagram app was very space taking but now lite has come thank you😍💕
krishna makwana,5,2021-02-05,2,This app is very good but theor is no songs to add in story as compair to insta
Jashanpreet Kaur,5,2021-01-22,6,Instagram reels icon cannot shown in my phone.please solve my problem as soon as possible.I am very thankful to you.
Bot gamer,5,2021-01-22,8,I will see the Instagram lite was looks like a good but the Facebook only manage the app but I have only one mistake the Facebook lite hace the Facebook app user will follow in Facebook lite but the Instagram follower my friends account link I touch but the link was incorrect say you will solve this problem (I Instagram account user many account link I touch but I Will not see the account why Facebook lite have not this problem Facebook you will solve this problem and you see and sent the reply)
SEENI AL-IMRAN,1,2020-12-23,1,I apply reload Instagram lite home page and the celebrate and friends notification(picture) see the many times... One or more pic see the many time...
Aronno Karmokar,5,2021-02-18,0,This is a very good app.I enjoy it very much
Lucky Sahu,4,2021-02-17,0,I left my original Insta because this app has no ads thnx
Elliott Smith,5,2021-04-05,2,It so easy to chat
Jayshree Waghmare,1,2021-02-20,1,This app not showing reels and video
Shuvam Sinha,3,2021-02-27,0,Its good but if someone tags u then u will not be able to post it in story..😅😅 Hit me up @_shuvam_xinha_
Saramsh Shrestha,4,2020-12-19,5,I would love to see the contious scroll in persons profile. Faster loading speeds would be nice.
Igor Kosulin,3,2021-03-11,2,Looks very ugly in dark mode.
Ansh Tripathi,4,2021-03-12,0,Add reels feature for more entertainment
Archit Pathak,4,2021-01-23,6,This app provides better experience of instagram but if reels comes in this lite version it'll be better.
Dar Aaqif,3,2021-02-23,0,Awesome...but can't find more in search
Rudra Rupak,1,2021-03-26,3,It's a worst app in the play store It's not working 1°like Instagram It is the worst worst app
Thakur Shiwank Singh,5,2020-12-27,6,I Like The Lite version so much it's operating system is similar to fb lite but i have a request that in next update please add reels opption in lite version too🙏🏻Namaste🙏🏻
Aman kumar,4,2021-03-22,0,Please add video calling option
Abhishek Aamle,1,2021-02-15,1,Slow application form in notification
AbhisheK,1,2020-12-18,2,But double tap like option is not working properly and please add dark mode also..
priyanshu upadhyay,3,2020-12-28,1,"After refreshing app doesn't show new feeds, instead of it show old ones."
albright 799,4,2020-12-09,6,Happy that Instagram came up with the lite version. Waiting for dark mode to be enabled.
RAVAN Dude,1,2021-01-13,9,"Very worst app , this is not gave sign option but he gave only error option. Do better update this app.😡😡"
Samurai Gamer,5,2021-01-21,14,I love this concept of providing almost the same experience with 500Mb less storage space!
Neelam Verma,5,2021-03-09,0,Instagram feels icon not coming my phone
Velayutham R,5,2020-12-16,11,Lite surface for Instagram lite Easy to use and at low net consumption New loading style well done by Instagram Perfect time to use
Fares Mekircha,2,2020-11-16,10,"Full of bugs, please hurry and fix them.. And add the dark mode.."
Srikant Panigrahi,2,2020-12-11,4,"We need more important feature like add to highlight options ,add music on stories and play reel video ."
Mian Bilal,1,2020-12-06,18,"Does not work properly, hang and stopped during uploading pic and story"
Mysterious Pahari,2,2020-12-12,6,"In Instagram lite , you will not upload your story with music , because there is no music option, I request Facebook company please add music option in storys"
Rohit Kumar,4,2020-12-18,1,App is good but it loads pictures and posts late and takes too much time. ..
Dipam Talukdar,1,2020-12-13,12,this app can not load the new posts..it shows the last 3-4days post on news feed.
Hunain Fiza,1,2021-04-23,0,It doesn't have the option of video calling?
Adeniyi oluwatunmise,5,2021-04-07,1,Gud app but about the posting......... I cant post or add to my story....y😩😩😩😩
คุณ หล่อ,5,2020-12-27,3,"Dear developers, please add option to change theme from light, dim, and dark mode. Thanks!"
Scott Stabile,1,2021-04-18,0,Good but some this i can't message the main part is i can'post any pic
jerin_boss,4,2020-12-13,8,This app is very good app.Please add dark theme & I'm very happy to download this app Instagram takes lot of storage.THANK YOU instagram for this app.I know this app is more popular in upcoming years.Please add some story features like Instagram
Tushar Kumawat,3,2021-04-21,0,"Sometime, photo doesn't load"
Samik Roy,4,2020-12-13,3,Add dark mode in lite version of instagram otherwise it is better than instagram app . Add stories option .
Supriya Sai,1,2020-12-12,21,Sorry for the bad review but the stickers doesn't work at all need to improve
abinash behera,3,2020-12-18,3,Its nice but plz include dark theme and free flowing of videos its a bit laggy while playing post.
manish krina,5,2021-04-16,0,Very good and you can get very much 😍😍😍😍😍😍😍😍😍
Abdelbasset,2,2020-12-26,2,"The app needs dark mode for sure, it's hard for our eyes you know :)"
Swastik Sahu,4,2021-01-13,9,Well its a good point to make a lite version for a low end phones.... I appreciate that move... But it can still be better....
Anil Bhargav,3,2021-01-07,0,Good app like instagram but in this app no rells no igtv some function not work in this app i think to more development want this app
Vasava Ashish,1,2021-04-17,0,Please help not send my Instagram message report a problem setting please help
yurum Namlo,3,2021-03-08,0,I am giving coz I can't click pic ana can't post I am installing this app try to solve the problem so that no one can have that problem
Nandha kumar S,2,2021-01-25,2,After refreshing post are not in correct order Very slow Only using become it's productive and not very time engaging as it's bigger version
Ashok Regmi,1,2021-03-28,0,Image and video please upload 4:5 ratio..
Haydah Noory,1,2021-03-25,0,Im glad from having such a app but my account has been banded and disapeared for all my followers i donno why and i cant use it for one month so this is terrible I want you to give me back my account and fix it please
Manoj Goswami,1,2020-12-30,1,Some problems are there doesn't posting and no dark mode etc. Please fix it.Next year Thank you
Foibe Andrease,5,2021-04-14,0,I like this app so murch good for sharing photos
Manas Singh,4,2020-12-15,2,"Too good app but some faults i.e., problem of stories stickers . Etc."
JANKSINGH Bhadoria,5,2021-02-19,0,Instagraam reels icon not coming my phone
Jatin Poojari,3,2020-12-17,2,Hey still I think need to fix bugs and add regular features.. Not bad
F.A Creations,1,2020-12-07,8,Not accessible with TalkBack screen reader so it is useless for me.
Estelí Flores,4,2021-01-05,5,"you should include the dark mode in the lite version, it would be so much better for my eyes 😆"
Abid Hassan,4,2021-04-02,0,Please add dark mode.
Lexa's Tutorials,5,2021-03-05,0,its amazing i love it!! but i wish we could share posts to our stories ;(
Jhazar Parejo,4,2020-12-18,1,"It's good, but when I try to send a message says: ""someting went wrong"""
SKANDA V GANJAM,1,2021-02-17,0,WROST APP I HAVE EVER SEEN.... MOST UNEXPECTED... WEB VERSION IS BETTER...
