names,stars,dates,clicks,reviews
Parul Sharma,1,2021-04-05,9,What rubbish is going on i can not log in my id plz do this all right as fast as could it is showing error when ever i try to log in
Anshiq Ashraf,4,2021-03-17,91,Instagram lite is good but there are many things to fix. 1) I can't mention anyone in my story. 2) I can't post any pic From directly from my gallery. Please fix these issues fast then it will be awesome. I also can watch reels in it...
sir xola dlamini,1,2021-04-09,5,"Trash, trash, trash UX. Loads like your network is bad when it's not. It works tho, good for learning patience and not getting addicted to social media. Tryna force us to upgrade"
Charisa Magallanes,4,2021-04-17,0,What the hell is going on in this version of Instagram? I use to like this app in my first use but after a week it's alway lagging. Can you fix this problem?
Rameez Rahimn,2,2021-03-26,34,I can't access to some of my contacts. And it's showing some error. If you could correct that and include video and voice call like that on messenger lite then it would be nice.
Wisdom Osagie,5,2021-04-11,4,This app is a very good and less data consuming app but sometimes I can't follow some of my friends so you guys should work on that AND I can’t video call my friends
Aditya Kamble,2,2021-04-15,4,"App is good but in message section No reels opened, it says not supported. Please fix"
Apni Padhai,1,2021-04-06,5,"Good app but they have no intresting stickers like music ,poll vote ,etc please fix this problem"
Tips and Tricks by Amna,1,2021-02-01,245,This app is not that much good. We cannot upload more than one photo like if we want to upload more than one photo at once there is no option.we have to upload all photos seperatly. So from my side its only 1 star.
DARK COBRA,5,2021-04-19,2,When we update it we get reels option for some time after 4 5 hours reel option was dissapear
KhalidPlaysYT,3,2021-03-24,44,"3 stars only because 2 issues, first one sometimes i can't talk some people in DM's he tell me ""Error"". Second issue is in posts, where's multiple select photos? I want this be added too in Instagram Lite, and Thanks."
TheForgottenArtist,2,2021-02-02,276,"Very glitchy, cant even search for accounts. Takes way too much time to do anything. Doesnt support stickers. Hope the issues get fixed soon. Downloaded this app because the original takes way too much space"
Gamer Bhaiyaji,5,2021-04-10,6,It is so good but if I like any photos next time it would not show that I liked the photo
Panav The Gamer,1,2021-03-03,305,Absolutely sucks ! My Instagram is faster than this lite version.. I only installated this because I didn't do heavey stuff on the insta app and that's why I decided to go with this . I instantly regretedy descision when I realised how slow it is compared to insta
